(1404641178870, 1974504004870)
(1550489308587, -1180630783023)
(-1875629966881, -1644781946949)
(-1642439204582, -1852583923167)
(1812233758889, 632150042124)
(1580952833594, -950130207934)
(690703018678, -372468764927)
(1560548011314, 540452184679)
(1066226905562, -1651141475656)
(-447631832761, -327232616246)
(381880860227, 37934299005)
(-981749706800, -1080556515639)
(-591518538087, -310402754641)
(1569736510204, -1017551773901)
(-1251435639083, 1435863834393)
(1605189422748, -848535109362)
(1522612473250, -1765488332042)
(755305664318, -903440592864)
(1728852077776, 318256160293)
(-549078217633, -1374386042395)
(165167133150, 527200671405)
(-1712825533114, -947504667572)
(-1699135203873, 976319311280)
(-55313452743, 195980277662)
(-277348741909, -19220061252)
(-467216271374, 642768882640)
(-527653475694, -748540670632)
(-1996408537206, -1412219678654)
(-98054161990, 1699634674683)
(147190354968, 1184647930306)
(879449829351, 1364146531966)
(282223228950, 1212236479836)
(-765523608147, 8254600582)
(1029467132246, -416208754140)
(-1866077185839, -985538138296)
(-523705752056, 53693785577)
(1250636572140, 682002733406)
(-1247239999793, 302752371637)
(712470604697, -1707325809829)
(1107973388579, 1655351340838)
(213000235771, 1786114974043)
(216193981534, 1085846587960)
(1721732510530, -135103017991)
(-667510039588, -904680098960)
(-427091669621, 623931910525)
(1496841368484, -257540792433)
(-1479122422311, 1212346001513)
(1244546790788, 917679261963)
(1984817780872, 1292203268441)
(-905312692488, -1213735924827)
(364277113784, -1621521937389)
(-575447713107, 1119385523978)
(1877475622962, -130375204987)
(-54615123021, -1685033392554)
(-550785748776, 675248355824)
(1580099198900, 1751659546665)
(976982205028, 1021137732838)
(1273599070712, 274654644900)
(1998795212159, -885892080415)
(-1892805290317, -1028148188289)
(-1587908451269, -821889808665)
(386097258864, 9212935615)
(-1127055399657, 739050613404)
(-147338955576, 81425909067)
(-1775149693727, 1337910846239)
(1602050555488, 351644810803)
(-1792111756724, -796777887428)
(-810783470674, -1015500239187)
(-1345489385631, 1081911737590)
(-1604104861032, -543125845049)
(879480117765, 76494969416)
(1463587868979, -58808658927)
(780188071693, -1394946849972)
(1879581734572, 1495961994055)
(1131683955880, -796311435835)
(-437402296534, -1741241638335)
(1340008274347, -1930161186076)
(1981300776270, -1659091416949)
(1922214697914, -66738570082)
(-605832341489, 1054327594480)
(-1766814591770, 185359373200)
(-1902080965895, -774192287909)
(-1442081118304, 12196975585)
(-1571360335933, 1040726544404)
(-1818655270587, 1288152262407)
(-1634158406152, -1588432209076)
(-1574439014674, -1197083443775)
(-1893497978776, -1363527862586)
(-416198904844, -486993404075)
(1470834751710, -69783375917)
(-56115063465, -1830330117920)
(1884184443150, -565684598617)
(1475138734562, -1286874284167)
(-163454843253, 1353430105566)
(-1079379554108, -1917950229529)
(433246371199, -872595346752)
(-101706995663, 821520957491)
(954938087944, -1422383953843)
(-283202147756, -941152763073)
(894642713807, -425081404243)
(37538894186, -834062113903)
(-273277029526, -870906391786)
(1738413378195, -1215018067048)
(-1366495032636, 836922546632)
(-1382973406064, -457036479524)
(1922287574505, -271480852560)
(208246081124, 1170596069312)
(739111340403, -1226744733834)
(-147605090694, 1515367009223)
(-1328674473477, 1268778000485)
(1274590434078, 498992511157)
(1859190751762, 1100006964969)
(1040787996712, -1178581105289)
(518876879589, 1241687027771)
(1663891814467, 1079346021531)
(-922525881852, -1323004497338)
(-1680872595751, -1870192804470)
(-75661321162, -506373663857)
(-778114647618, 1830015395381)
(375253430025, -666531840233)
(-87535772625, -1110419855556)
(-431167805307, -296261962562)
(-1000952069697, -1888458369141)
(-706779027822, -300018797224)
(272061193053, -1944109450755)
(-368634891380, 1264045215438)
(-1917184787678, -900105551445)
(-1361666398038, 102977332078)
(85001427823, 1978755543366)
(-1286794351711, -1657678572442)
(1115312534764, -1639950170049)
(874310646434, 896342444629)
(-866712829568, -1151940617441)
(-949914766192, 456440571264)
(-630295835146, -1668929566760)
(-1670897143314, 1528350407226)
(1876415416185, -1296327189002)
(-1700867165948, -723678512042)
(-854484387629, -152975381147)
(-1496129364790, 1931549967784)
(-1965109081115, 384903422259)
(-433024805642, 1799380541055)
(-1025000735256, 156893292805)
(-1788939012437, -684297436717)
(-407857655322, 1010979035191)
(1122142926113, -203603984377)
(18518274459, 381337704076)
(-1857326294624, -1540423180561)
(838672464167, 1486814499755)
(1117197720118, -123923958667)
(794291812235, 579164663537)
(-979365295854, -589963597198)
(1256737936381, -253413605846)
(1196212465695, 1873282283885)
(1386360513455, -1924110216546)
(-552717632866, 1086869883657)
(353184641590, -360676313609)
(-885819961994, -1452084236659)
(-1905638008752, 508736959564)
(330722776781, 478444569890)
(-745704850479, 1822474320553)
(-8120890470, 1188226837989)
(1414346535442, 1842150224238)
(837881370803, 1366015662914)
(-71104291780, -1293572840940)
(-108436360579, -1783996309772)
(1884617300842, -218987067950)
(-111738592272, -995021200139)
(-896315246541, 278096983715)
(29770110284, 172187137404)
(-1953197399742, 248920929522)
(1529444078680, -1595219978920)
(-1457845304364, 1269852899763)
(832001313733, 700874135393)
(1172364378927, 867515442672)
(-1247604256397, 197665455940)
(-65749024341, -104200198777)
(1229897213780, 1711829534392)
(1089725858489, -356600698435)
(-1080947127178, -620309566841)
(-1195908844046, 123696758738)
(-966161855367, 1927344249151)
(239554110760, -1630375100191)
(552690766252, 561801696461)
(762248615642, 383861116445)
(-1603930415950, -70123338800)
(-302152071006, 1056201516604)
(-602406335770, 24726936097)
(501327441900, 1032082869038)
(814761500385, -1244057954115)
(1174764516920, -634112505007)
(-1960449547908, -1647111368816)
(-723128856083, 825132134878)
(1024744325901, -308268428322)
(1371254821288, 1967398537946)
(-1582548354789, 564992847295)
(702722870443, -1254714791002)
(503609810897, -1727183311040)
(1016869964993, -1311098409855)
(-1810044215101, -555727112379)
(655984910482, -91214510539)
(-1817985106232, -1338764857636)
(-327470837201, -1436013871991)
(-1533200390517, 775067741780)
(-997280174596, -1356682054747)
(176397778845, -1939347808289)
(-1229794146222, 155990076646)
(429046849384, 1257409823453)
(-1475455964147, -527592692584)
(-269020963986, 1198790929197)
(428240644873, -1679505867803)
(1723435966572, -1296991079036)
(812179765460, 1484794337600)
(1488464505519, -455947266951)
(558086921275, 1845004341670)
(172079829847, -1227557507418)
(1852132542407, -618849023228)
(-1013795044499, -59401298281)
(-77864744400, -1786396662094)
(-340754536549, 1780446686989)
(1715741269291, -1865245982312)
(761914741789, -1207996899766)
(1258876053359, 891984807254)
(543728350311, -434844018369)
(1586239213914, -641369826418)
(333970293504, -1394626653469)
(-670611715781, -33307082093)
(1970052263975, 1307666509259)
(-851460473409, -917007611542)
(152656143478, -734022408950)
(-940371458690, -269669855290)
(-1569149838889, 855987433241)
(-644108947994, -1620139897704)
(382403042186, 127975048394)
(886661509094, -653867785311)
(909541417850, -1965058999379)
(-898599526451, 1936288503418)
(53861533544, 1596717240460)
(327090455091, -1291918856081)
(157011191088, 919296411012)
(1599369805117, -1061580126062)
(-99230759550, 1268400405313)
(-1071433268332, -1226153297916)
(831495123334, -554070988276)
(-903348480065, -1887984774356)
(1450440094473, -1630983754898)
(-99801337912, 1206961071177)
(-675437640774, 1063077066683)
(-1732310799997, 1252261886312)
(1229287386664, -1241272988630)
(322750851325, -507716662247)
(-1927421624779, 1296525711878)
(-193702012028, -677754239531)
(103271851283, -1211721345312)
(367749873285, -979720902113)
(1876715033015, -1884377037730)
(34376629099, -1033363527074)
(-698741294034, -1336231170819)
(74710534121, -802745225474)
(-1090600098754, 1392421530957)
(1970016244040, -332163974740)
(1397631474023, 980628371437)
(-1172690112271, 1513623400686)
(398292570970, 1539638193537)
(-841443025229, 774131735377)
(-1982850359779, -1300233119385)
(1368239124428, 610891113295)
(-1579785869118, 1189314123026)
(1872768654311, 1147186474993)
(559255366416, -1082953803559)
(181901407099, -1790177929567)
(1374207179441, 79631495081)
(1949022007916, 832638226620)
(732435244893, 1585058407766)
(-369147965983, 1075204790275)
(-224621165050, -1412903746079)
(-1545123173786, -1780248644519)
(-177830783484, -1366903921356)
(1371054811060, 277672745629)
(1736741457142, 209563045230)
(-328786567110, -1441190567200)
(-1404042907114, 1405846038078)
(1912224527789, 1934172439017)
(562184059241, 1038702535222)
(-1161542768380, 1291088911069)
(-1235559688541, -545687900223)
(1244088244961, -120607156527)
(-1838303393772, -567182162119)
(-1067741467463, 1947382853087)
(-261225113028, 1296546502027)
(1260498778333, 1062745214978)
(1692106026267, -1992194237052)
(-1915499294874, 1811635213625)
(1828092328449, 1751344620383)
(822674164264, 1241980513871)
(-1115946544010, 1141221161513)
(459632599214, -220517239321)
(-1978576241918, 1634111580481)
(-746054966486, -597757408850)
(354396319783, -1849793397185)
(-647389285652, 1631002007628)
(-976476822892, 384503657675)
(963025081306, -1204687151591)
(1387683797143, -1133924657424)
(1934864614578, -537327791179)
(233089485922, 306959337826)
(1113439568335, -854164188230)
(579637995263, -1385442388960)
(1467306438795, 1409236302491)
(46457350670, -540387151242)
(-1352629225959, 1367142819632)
(-341988680436, -604022645840)
(1566453577976, 1814311531385)
(-656739698994, -627239631996)
(805293366036, -853822123833)
(-1826567506061, 1432935308412)
(-591226425095, 126255520468)
(-379831460943, -1909945059340)
(-1265497303649, 1851113212159)
(-532658133704, 111117111728)
(-1554117916499, -1150916266584)
(-1201566062143, -1658904296897)
(440572201738, -265515965693)
(-925928265015, 881779504875)
(1518935231939, -1133113077001)
(1626966913908, 1561688088220)
(-619320057807, 231989572863)
(-1196941909929, -959325386436)
(523344064129, -1880571442435)
(452125951622, -770924172243)
(-1131619698150, 73627757749)
(1034216687882, -1758286098720)
(1100918206169, 899331716394)
(-1402369217854, 457343005757)
(1597236832876, 877193142068)
(974362422941, 619528478146)
(-1791543206866, -921496277807)
(1660754980075, 102679941552)
(1665030107407, 1604915371876)
(-333044563012, -1150937862609)
(1180399477683, -687812673256)
(1015629026962, 1162541939309)
(-853134960115, -139123915953)
(-1932832180214, 124407979728)
(-426761376664, 99570550340)
(-1422374851781, -955927334056)
(38952027289, 1056633117303)
(1487770551991, 612518416826)
(1911684251430, -1179213204267)
(-855348144923, -83829471564)
(-535789272498, 705322108665)
(-1139816221535, 1742287637482)
(-848661560300, -1958820934537)
(1480720888043, -108696374935)
(1172388618485, 1263527447810)
(-72783417123, -1609349773391)
(-237061384905, 1777087933282)
(1135469085210, -756149984778)
(852989769449, -952490880666)
(526697703190, -1559700483339)
(742012029382, -1121454863220)
(1214638251668, 357339818669)
(375611983918, 1046895755924)
(1445960665249, -1852529471622)
(-1225098991113, -118973944775)
(1612342780378, -986381821850)
(914416389042, 626267805511)
(-1773150074263, -1223726211372)
(136709053020, 747951702968)
(1132869917548, -426617201138)
(1888244075037, 106847994719)
(-1232246451665, 914667990033)
(1333148590601, -358134694770)
(-104645881922, 1675091547285)
(-1438872088158, -447724506501)
(1951269942917, 1474567111664)
(-1428225157641, 314396075628)
(1641778497792, -1125424891525)
(54983610474, -1355122590508)
(1305675489637, 1591156731537)
(-565282253755, -476026297366)
